Компания,Сайт,Ниша,Город,Контактное лицо,Должность,Email,Источник email,Краткий факт,Персонализация,Источник факта,Комментарий
Usedesk,https://usedesk.ru/,Helpdesk / клиентский сервис,Россия,Поддержка,Поддержка,support@usedesk.ru,https://usedesk.ru/,Usedesk — helpdesk-сервис для клиентского сервиса.,"Увидел, что Usedesk помогает компаниям выстраивать клиентский сервис и поддержку. Для таких B2B SaaS-решений email-аутрич может быть полезен по сегментам, где уже есть поток обращений и команда поддержки.",https://usedesk.ru/,Публичный общий email
RetailCRM,https://www.retailcrm.ru/,CRM / e-commerce / маркетинг,Москва,Поддержка,Поддержка,support@retailcrm.ru,https://www.retailcrm.ru/contacts,"RetailCRM работает с CRM, маркетингом и email-рассылками для бизнеса.","Увидел, что RetailCRM закрывает CRM и маркетинговые задачи для e-commerce. Для таких решений можно тестировать outbound по интернет-магазинам и компаниям с регулярными продажами.",https://www.retailcrm.ru/contacts,Email поддержки
ПланФакт,https://planfact.io/,Финансовый учёт для бизнеса,Россия,Поддержка,Поддержка,support@planfact.io,https://planfact.io/,"ПланФакт помогает бизнесу вести управленческий и финансовый учёт, подключать банк, 1С и CRM.","Увидел, что ПланФакт помогает управлять финансами бизнеса и подключаться к банкам, CRM и 1С. Для такого B2B SaaS можно тестировать outbound по компаниям, где собственнику важны деньги, кассовые разрывы и управленческий учёт.",https://planfact.io/,Email поддержки
Моё дело,https://www.moedelo.org/,Онлайн-бухгалтерия / SaaS для бизнеса,Москва,Общий контакт,Компания,info@moedelo.org,https://www.moedelo.org/company/leadership,"Моё дело — SaaS-сервис для бухгалтерии, отчётности и управления бизнесом.","Увидел, что Моё дело закрывает бухгалтерию и отчётность для ИП и организаций. Для такого продукта outbound может быть полезен по сегментам малого бизнеса, которым важно снизить ручную бухгалтерскую рутину.",https://www.moedelo.org/company/leadership,Публичный общий email
МойСклад,https://www.moysklad.ru/,Облачный сервис учёта / SaaS,Москва,Общие вопросы,Компания,support@moysklad.ru,https://www.moysklad.ru/company/contacts/,МойСклад — облачный сервис управления торговлей и складом.,"Увидел, что МойСклад работает с торговлей, складом, интеграциями и бизнес-учётом. Для такого SaaS-аутрич может быть полезен по нишам торговли, опта и e-commerce.",https://www.moysklad.ru/company/contacts/,Публичный email поддержки
SellPromo,https://sellpromo.ru/,B2B-маркетинг / промышленность / IT,Россия,Коммерческий отдел,Продажи,privet@sellpromo.ru,https://sellpromo.ru/contacts/,Агентство занимается системным B2B-маркетингом для промышленного и IT-рынка.,"Увидел, что SellPromo работает с B2B-маркетингом для промышленного и IT-рынка. Это близкая аудитория для email-аутрича, потому что у таких компаний часто длинный цикл сделки и нужен системный поток лидов.",https://sellpromo.ru/contacts/,Публичный email
Евклид,https://ev.agency/,B2B-маркетинг / email-аутрич,Россия,Коммерческий отдел,Продажи,s1@ev.agency,https://ev.agency/,Евклид позиционируется как агентство B2B интернет-маркетинга и email-аутрича.,"Увидел, что Евклид работает с привлечением клиентов для B2B-компаний через email-аутрич. Это близкая ниша, поэтому можно использовать как референс и конкурентный анализ для Polza Agency.",https://ev.agency/,Публичный email
UIS,https://www.uiscom.ru/,Облачные коммуникации / сквозная аналитика,Москва,Коммерческий отдел,Продажи,info@uiscom.ru,https://www.uiscom.ru/podderzhka/,"UIS работает с телефонией, коллтрекингом, чатами, речевой аналитикой и интеграциями с CRM.","Увидел, что UIS закрывает коммуникации, аналитику звонков и интеграции с CRM. Для таких решений email-аутрич можно использовать для выхода на компании с отделами продаж и большим потоком обращений.",https://www.uiscom.ru/,Публичный общий email
CoMagic,https://www.comagic.ru/,Сквозная аналитика / коммуникации,Москва,Общий контакт,Компания,info@comagic.ru,https://www.comagic.ru/services/communication-hub/,"CoMagic работает со сквозной аналитикой, коммуникациями, звонками, чатами и заявками.","Увидел, что CoMagic помогает компаниям анализировать обращения из звонков, чатов и заявок. Для такого B2B-продукта можно тестировать outbound по компаниям, где важно не терять лиды и понимать эффективность рекламы.",https://www.comagic.ru/services/communication-hub/,Публичный общий email
Envybox,https://envybox.io/,Виджеты продаж / CRM / коммуникации,Пенза / Москва,Поддержка,Поддержка,support@envybox.io,https://envybox.io/kontakty/,"Envybox предлагает онлайн-чат, обратный звонок, CRM и инструменты для увеличения конверсии сайта.","Увидел, что Envybox работает с виджетами продаж и обработкой обращений с сайта. Для таких продуктов email-аутрич может быть полезен при выходе на компании с активным сайтом и отделом продаж.",https://envybox.io/kontakty/,Публичный email поддержки
UniSender,https://www.unisender.com/ru/,Email/SMS-маркетинг,Москва,Поддержка,Поддержка,support@unisender.com,https://www.unisender.com/ru/contacts/,UniSender — сервис email- и SMS-рассылок.,"Увидел, что UniSender работает с email/SMS-коммуникациями и базами подписчиков. Для такой аудитории Polza Agency близка как подрядчик по холодному B2B-аутричу и тестированию outbound-гипотез.",https://www.unisender.com/ru/contacts/,Публичный email поддержки
Sendsay,https://sendsay.ru/,Email-маркетинг / CDP / рассылки,Москва / Санкт-Петербург,Отдел продаж,Продажи,sale@sendsay.ru,https://sendsay.ru/contacts,"Sendsay работает с рассылками и базами клиентов, на сайте указан email отдела продаж.","Увидел, что Sendsay помогает бизнесу работать с email-рассылками, базами и сегментацией. Для такого продукта можно тестировать outbound по компаниям, где уже есть CRM-маркетинг и регулярные коммуникации.",https://sendsay.ru/contacts,Публичный sales email
YCLIENTS,https://www.yclients.com/,CRM / онлайн-запись / автоматизация услуг,Москва,Поддержка,Поддержка,support@yclients.com,https://www.yclients.com/info/contacts,YCLIENTS — платформа онлайн-записи и автоматизации для бизнеса услуг.,"Увидел, что YCLIENTS автоматизирует запись, клиентскую базу и возвращаемость клиентов для сферы услуг. Для такого B2B-продукта можно тестировать outbound по сетевым и растущим сервисным компаниям.",https://www.yclients.com/info/contacts,Публичный email поддержки
DaData,https://dadata.ru/,API для стандартизации данных,Москва,Общий контакт,Компания,info@dadata.ru,https://dadata.ru/offer/,"DaData работает с очисткой, стандартизацией и проверкой данных через API.","Увидел, что DaData помогает приводить в порядок клиентские и контактные данные. Это близко к теме B2B-аутрича, где качество базы, корректность email и чистота данных напрямую влияют на результат кампаний.",https://dadata.ru/clean/,Публичный общий email
Контур,https://kontur.ru/,B2B SaaS / отчётность / ЭДО / сервисы для бизнеса,Екатеринбург,Общий контакт,Компания,info@skbkontur.ru,https://kontur.ru/rekvizity,"Контур развивает линейку B2B-сервисов для бизнеса, отчётности, ЭДО и автоматизации процессов.","Увидел, что Контур работает с большим набором B2B-сервисов для компаний и ИП. Для отдельных продуктовых направлений можно тестировать email-аутрич по узким сегментам бизнеса и партнёрам.",https://kontur.ru/contacts/all,Публичный общий email
amoCRM,https://www.amocrm.ru/,CRM / продажи / автоматизация воронки,Москва,Поддержка,Поддержка,support@amocrm.ru,https://www.amocrm.ru/contacts/,amoCRM — CRM-система для продаж.,"Увидел, что amoCRM помогает компаниям вести сделки, контакты и продажи. Для CRM-продукта outbound может быть полезен как канал поиска компаний, которые ещё не выстроили системную работу с лидами.",https://www.amocrm.ru/contacts/,Публичный email поддержки
LeadVertex,https://leadvertex.ru/,CRM / партнёрские продажи / обработка заказов,Россия,Поддержка,Поддержка,support@leadvertex.ru,https://leadvertex.ru/contact.html,"LeadVertex работает с CRM-логикой, заказами, партнёрскими программами и обработкой заявок.","Увидел, что LeadVertex помогает управлять заказами, заявками и партнёрскими продажами. Для такого продукта можно тестировать outbound по компаниям, которым важно масштабировать продажи через партнёров и лиды.",https://leadvertex.ru/contact.html,Публичный email поддержки
Мегаплан,https://megaplan.ru/,CRM / управление бизнесом / задачи,Москва,Общий контакт,Компания,info@megaplan.ru,https://megaplan.ru/contacts/,"Мегаплан — CRM и система управления бизнесом для команд, продаж, задач и процессов.","Увидел, что Мегаплан закрывает CRM, задачи и бизнес-процессы для компаний. Для такого SaaS-продукта можно тестировать outbound по сегментам малого и среднего бизнеса, где продажи и задачи ещё ведутся разрозненно.",https://megaplan.ru/contacts/,Публичный общий email
Телфин,https://www.telphin.ru/,Облачная телефония / коммуникации / CRM-интеграции,Санкт-Петербург,Отдел продаж,Продажи,sales@telphin.ru,https://www.telphin.ru/about-company/contacts,"Телфин предлагает виртуальную АТС, коммуникации, CRM-интеграции, речевую аналитику и голосовых роботов.","Увидел, что Телфин работает с телефонией, коммуникациями и интеграциями с CRM. Для такого решения outbound может быть полезен по компаниям с отделами продаж, call-центрами и распределёнными командами.",https://www.telphin.ru/about-company/contacts,Публичный sales email
Voximplant,https://voximplant.com/,Cloud communications / voice AI / контакт-центр,Международная компания,Отдел продаж,Продажи,sales@voximplant.com,https://voximplant.com/contacts,"Voximplant предлагает коммуникационную платформу, cloud call center, IVR, Click to Call и AI/voice-решения.","Увидел, что Voximplant работает с voice AI, контакт-центрами и коммуникационными API. Для таких B2B-решений email-аутрич может быть полезен при выходе на компании с большим объёмом звонков и клиентских обращений.",https://voximplant.com/contacts,Публичный sales email
YouGile,https://ru.yougile.com/,Управление проектами / CRM / командная работа,Россия,Отдел продаж,Продажи,op@yougile.com,https://yougile.com/,"YouGile указывает отдельный email отдела продаж, продукт включает CRM, задачи и командную работу.","Увидел, что YouGile развивает CRM, задачи и командную работу. Для такого SaaS можно тестировать outbound по компаниям, где растут команды продаж, проектов и поддержки.",https://yougile.com/,Публичный sales email
Kaiten,https://kaiten.ru/,Управление проектами / service desk / команды,Москва,Отдел продаж,Продажи,sales@kaiten.ru,https://kaiten.ru/,"Kaiten — российская платформа управления задачами, проектами и сервисными процессами.","Увидел, что Kaiten развивает управление задачами, service desk и командную работу. Для такого продукта outbound можно запускать по компаниям с проектными командами и внутренними сервисными отделами.",https://kaiten.ru/,Публичный sales email
WEEEK,https://weeek.net/,Управление проектами / CRM / командная работа,Россия,Общий контакт,Компания,info@weeek.net,https://ict.moscow/card/weeek/,"WEEEK — сервис для задач, проектов, CRM, базы знаний и командной работы.","Увидел, что WEEEK объединяет задачи, проекты, CRM и базу знаний. Для такого продукта email-аутрич может быть полезен по сегментам команд, которые переходят от таблиц и мессенджеров к единой системе управления.",https://weeek.net/ru/teams/sales,Публичный общий email
Бизнес.Ру,https://online.business.ru/,Автоматизация торговли / CRM / склад / касса,Уфа / Россия,Поддержка,Поддержка,support@mail.business.ru,https://online.business.ru/kontakty/,"Бизнес.Ру предлагает CRM, склад, кассу, документы, заказы и автоматизацию малого бизнеса.","Увидел, что Бизнес.Ру автоматизирует продажи, склад, CRM и документы для малого бизнеса. Для такого продукта можно тестировать outbound по торговым и сервисным компаниям, которым важно навести порядок в процессах.",https://online.business.ru/kontakty/,Публичный email поддержки
CloudShop,https://cloudshop.ru/,Учёт продаж / программа для магазина / CRM,Набережные Челны,Общий контакт,Компания,info@cloudshop.ru,https://cloudshop.ru/,"CloudShop — программа для магазина, продаж, учёта и работы с клиентами.","Увидел, что CloudShop помогает рознице вести продажи, товары и клиентскую базу. Для такого SaaS можно тестировать outbound по магазинам и небольшим сетям, где ещё много ручного учёта.",https://cloudshop.ru/,Публичный общий email
inSales,https://www.insales.ru/,Платформа интернет-магазинов / e-commerce SaaS,Москва,Отдел продаж,Продажи,sales@insales.ru,https://www.insales.ru/contacts,"inSales — платформа для интернет-магазинов, маркетплейсов и e-commerce-проектов.","Увидел, что inSales помогает запускать и развивать интернет-магазины. Для такого B2B SaaS outbound можно тестировать по компаниям, которым нужен рост онлайн-продаж и новые каналы привлечения.",https://www.insales.ru/contacts,Публичный sales email
Wazzup,https://wazzup24.ru/,Интеграция мессенджеров с CRM,Россия,Поддержка,Поддержка,support@wazzup24.com,https://wazzup24.ru/contact/,"Wazzup интегрирует WhatsApp, Telegram и другие каналы с amoCRM и Битрикс24.","Увидел, что Wazzup помогает не терять клиентов в мессенджерах и вести переписку прямо из CRM. Для такого продукта outbound можно тестировать по компаниям, где продажи идут через WhatsApp, Telegram и CRM.",https://wazzup24.ru/contact/,Публичный email поддержки
Naumen,https://www.naumen.ru/,Contact Center / Helpdesk / ITSM / SaaS,Москва / Екатеринбург,Отдел продаж,Продажи,sales@naumen.ru,https://www.naumen.ru/company/contacts/,"В линейке Naumen есть решения для контакт-центров, поддержки и автоматизации обращений.","Увидел, что Naumen развивает корпоративные продукты для контакт-центров, поддержки и автоматизации обращений. Для таких B2B-решений outbound можно тестировать по компаниям с большим потоком заявок и клиентским сервисом.",https://www.naumen.ru/company/contacts/,Публичный sales email
CRM Академия,https://crmacademy.ru/,CRM / Битрикс24 / интегратор,Москва,Отдел продаж,Продажи,1@crmacademy.ru,https://crmacademy.ru/contacts,"CRM Академия работает в нише CRM и Битрикс24, на сайте есть контакты отделов.","Увидел, что CRM Академия работает с CRM и Битрикс24. Для таких услуг email-аутрич можно тестировать по компаниям, где есть отдел продаж, заявки из разных каналов и потребность в настройке CRM-процессов.",https://crmacademy.ru/contacts,Публичный email отдела продаж
РосБизнесСофт,https://rbs-crm.ru/,CRM / ERP / автоматизация бизнеса,Москва,Отдел по работе с клиентами,Продажи,sale@rbs-crm.ru,https://rbs-crm.ru/company/contacts/,РосБизнесСофт развивает CRM-систему для бизнеса и указывает email отдела по работе с клиентами.,"Увидел, что РосБизнесСофт работает с CRM и автоматизацией бизнеса. Для такого продукта outbound может быть полезен по компаниям, где важно систематизировать продажи, клиентов и внутренние процессы.",https://rbs-crm.ru/company/contacts/,Публичный sales email
CRM.SU,https://crm.su/,CRM / управление продажами,Москва / Сочи / Самара,Продажи,Продажи,001@crm.su,https://crm.su/contacts/,На странице контактов CRM.SU отдельно указан email для продаж.,"Увидел, что CRM.SU работает в нише CRM и управления продажами. Для таких решений можно тестировать outbound по компаниям, которым нужно усилить контроль лидов, сделок и работы менеджеров.",https://crm.su/contacts/,Публичный email продаж
A2B,https://a2b.su/,Облачный сервис / автоматизация бизнеса,Уфа,Общий контакт,Компания,info@a2b.su,https://a2b.su/company/,Компания А2Б указывает себя как разработчика облачного сервиса и публикует общий email в реквизитах.,"Увидел, что А2Б работает с облачными сервисами и автоматизацией бизнес-процессов. Для такой B2B-аудитории email-аутрич можно использовать для поиска компаний, которым нужно снижать ручную рутину и ускорять обработку данных.",https://a2b.su/company/,Публичный общий email
Аспро,https://aspro.ru/,SaaS / готовые сайты / облачные сервисы,Челябинск,Отдел продаж,Продажи,info@aspro.ru,https://aspro.ru/company/,"Аспро создаёт коммерческие IT-продукты: готовые сайты, интернет-магазины, SaaS-системы и облачные сервисы.","Увидел, что Аспро развивает готовые сайты, интернет-магазины и SaaS-системы для малого и среднего бизнеса. Для таких продуктов outbound можно тестировать по компаниям, которым нужны быстрый запуск сайта, e-commerce или облачная автоматизация.",https://aspro.ru/company/,Публичный общий email
ПРОГРЕСС Диджитал,https://progrs.ru/,Продуктовая разработка / SaaS / digital,Россия,Коммерческий отдел,Проекты,mail@progrs.ru,https://progrs.ru/,"ПРОГРЕСС Диджитал указывает направления: SaaS-сервисы, заказная разработка, сайты и воронки продаж.","Увидел, что ПРОГРЕСС Диджитал работает с SaaS-сервисами, заказной разработкой и маркетинговыми воронками. Для таких услуг outbound может быть полезен как канал поиска B2B-клиентов под конкретные продуктовые гипотезы.",https://progrs.ru/,Публичный общий email
ABS Lead,https://abslead.ru/,B2B-лидогенерация / email-аутрич,Москва,Общий контакт,Компания,info@abslead.ru,https://abslead.ru/,ABS Lead работает с B2B-лидами через email-аутрич и указывает публичный email для связи.,"Увидел, что ABS Lead занимается B2B-лидогенерацией через email-аутрич. Это близкая ниша для Polza Agency: можно использовать как ориентир по позиционированию, офферам и ожиданиям клиентов от outbound-кампаний.",https://abslead.ru/,Публичный общий email
LPTracker,https://lptracker.io/,CRM / сквозная аналитика / автоворонки,Санкт-Петербург,Общий контакт,Компания,info@lptracker.ru,https://career.habr.com/companies/lptracker,"LPTracker работает в нише CRM, аналитики эффективности рекламы, автоворонок и инструментов повышения продаж.","Увидел, что LPTracker объединяет CRM, аналитику, автоворонки и инструменты для роста продаж. Для такого продукта outbound можно тестировать по компаниям, где важно не терять лиды и контролировать эффективность рекламы.",https://lptracker.io/,Публичный общий email
IT-Agency,https://www.it-agency.ru/,B2B-маркетинг / performance / CRM-маркетинг,Москва,Коммерческий отдел,Продажи,sales@it-agency.ru,https://www.it-agency.ru/contacts/,IT-Agency указывает sales@it-agency.ru на странице контактов и продвигает интернет-маркетинг для B2B-компаний.,"Увидел, что IT-Agency работает с B2B-маркетингом, performance, CRM-маркетингом и отделами продаж. Для такой аудитории outbound может быть полезен как канал тестирования новых ниш и привлечения B2B-клиентов.",https://www.it-agency.ru/contacts/,Публичный sales email
